Age,Incidence and Survival Assumptions,Year,Sex,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost,"Standard Deviation for all Initial, Continuing, and Last year",Initial Cost Exceeds Last Year of Life
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,130982.2,41955.3,49513.1,39513.8,5213.240572171335,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,127613.2,39300.3,49282.9,39030.0,5843.048908175709,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,132581.6,41955.3,50490.4,40135.9,5528.318288895216,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,129196.4,39300.3,50236.6,39659.4,6213.007462037472,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,132134.5,40888.1,50236.6,41009.8,5362.572476277903,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,136650.9,43328.6,50236.6,43085.6,4060.302000262214,True
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,4122.2,1016.5,1961.8,1143.9,512.9625164993377,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,3978.6,940.0,1921.7,1116.9,523.2481151423291,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,4136.6,1016.5,1970.9,1149.2,516.9912217178676,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,3992.3,940.0,1930.3,1121.9,527.1451824055052,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,4064.2,978.0,1930.3,1155.9,506.3297772532574,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,4174.8,1036.4,1930.3,1208.1,474.36113879617074,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,4683.1,1299.6,1122.3,2261.2,612.808161934331,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,4630.8,1264.7,1119.1,2246.9,613.439624847738,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,4742.9,1299.6,1137.3,2306.0,633.119517416209,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,4689.6,1264.7,1133.9,2291.0,633.6771970017542,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,4829.2,1315.8,1133.9,2379.5,672.8130820170884,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,5043.8,1394.3,1133.9,2515.6,734.1907949118765,False
All ages,Incidence/Survival at constant rate,2012,Females,0%,17316.1,6213.9,7176.2,3926.0,1669.546232763062,True
All ages,Incidence follows recent trend/Survival constant,2012,Females,0%,16566.9,5731.4,7015.5,3820.0,1607.9792193930866,True
All ages,Survival follows recent trend/Incidence constant,2012,Females,0%,17345.3,6213.9,7194.7,3936.7,1671.435135843845,True
All ages,Incidence/Survival follow recent trends,2012,Females,0%,16594.5,5731.4,7033.0,3830.1,1610.7799694557914,True
All ages,Incidence/Survival follow recent trends,2012,Females,2%,16976.8,5963.0,7033.0,3980.9,1548.5980121817713,True
All ages,Incidence/Survival follow recent trends,2012,Females,5%,17564.5,6318.9,7033.0,4212.6,1466.350041202077,True
All ages,Incidence/Survival at constant rate,2012,Females,0%,1546.0,494.3,366.0,685.8,160.9374516181157,False
All ages,Incidence follows recent trend/Survival constant,2012,Females,0%,1359.4,365.6,350.0,643.8,165.30630155361084,False
All ages,Survival follows recent trend/Incidence constant,2012,Females,0%,1546.8,494.3,366.2,686.3,161.10949692677957,False
All ages,Incidence/Survival follow recent trends,2012,Females,0%,1360.0,365.6,350.1,644.3,165.56347221936764,False
All ages,Incidence/Survival follow recent trends,2012,Females,2%,1398.6,380.4,350.1,668.1,175.50564093498534,False
All ages,Incidence/Survival follow recent trends,2012,Females,5%,1457.9,403.1,350.1,704.7,191.27324259637922,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,14695.2,6153.5,4068.4,4473.3,1105.64144730559,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,13496.0,5308.0,3938.9,4249.1,717.8588603154056,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,14785.9,6153.5,4109.6,4522.8,1080.6976095713976,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,13577.9,5308.0,3976.1,4293.8,695.6402973759739,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,13925.0,5522.4,3976.1,4426.5,795.2882768740735,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,14458.7,5852.1,3976.1,4630.5,952.183623747717,True
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,1420.4,604.2,161.0,655.2,271.80289426960366,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,1398.9,590.9,159.7,648.2,267.0358839806616,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,1488.6,604.2,175.5,708.9,282.62499889429455,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,1466.3,590.9,174.1,701.2,278.0056174492403,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,1515.7,614.8,174.1,726.8,292.18652147786236,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,1591.6,651.5,174.1,766.0,313.944427141705,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,3765.5,1121.3,1042.7,1601.5,302.4972286374428,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,3578.3,1002.6,1022.4,1553.3,312.387937240434,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,3775.7,1121.3,1046.6,1607.8,304.7424541040079,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,3587.9,1002.6,1026.1,1559.1,314.73096977153887,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,3686.8,1043.1,1026.1,1617.5,336.64479796961075,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,3838.8,1105.4,1026.1,1707.3,372.51522116552496,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,4050.5,1178.5,1707.1,1165.0,309.15816340507644,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,4336.5,1363.7,1757.9,1215.0,280.5487895773806,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,4086.3,1178.5,1728.2,1179.6,317.05237737635724,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,4376.0,1363.7,1781.2,1231.2,287.0431152283573,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,4468.6,1418.8,1781.2,1268.6,263.5186773899212,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,4610.8,1503.4,1781.2,1326.2,229.3460558486527,True
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,5727.2,821.7,2224.1,2681.4,969.0487724223859,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,5571.5,781.3,2177.1,2613.2,956.9307237203745,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,5790.0,821.7,2251.4,2717.0,987.6729840049961,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,5631.6,781.3,2203.2,2647.1,974.6842616970893,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,5759.6,812.8,2203.2,2743.5,996.0537753220623,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,5956.3,861.4,2203.2,2891.7,1032.5193767350488,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,12627.8,5470.9,1922.5,5234.5,1983.9510881067608,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,11536.5,4805.4,1856.4,4874.7,1722.9595845521158,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,12761.5,5470.9,1960.4,5330.2,1987.4170330691375,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,11655.4,4805.4,1890.3,4959.7,1729.2981649598005,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,12036.3,4999.5,1890.3,5146.4,1838.9712459234736,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,12621.7,5298.0,1890.3,5433.4,2007.664898167354,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,12759.5,3267.6,5155.5,4336.4,946.6981796398119,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,12670.7,3210.3,5141.4,4319.0,969.0807207520604,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,12848.2,3267.6,5201.6,4379.0,970.5871693636454,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,12758.6,3210.3,5187.2,4361.2,992.8897572238318,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,13043.0,3340.0,5187.2,4515.8,935.0072584388494,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,13480.1,3539.3,5187.2,4753.6,854.2158060662031,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,2527.6,507.5,1671.9,348.2,722.655466549125,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,2693.1,607.8,1716.0,369.3,718.631845940604,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,2531.2,507.5,1674.7,349.0,723.9887867455775,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,2697.2,607.8,1719.2,370.2,720.1232209374541,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,2735.8,632.4,1719.2,384.2,710.0425433263372,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,2795.2,670.2,1719.2,405.9,694.6236846907348,True
All ages,Incidence/Survival at constant rate,2012,Females,0%,5314.0,1426.2,1719.6,2168.2,373.6954018091917,False
All ages,Incidence follows recent trend/Survival constant,2012,Females,0%,4699.3,1014.6,1654.8,2029.9,513.3858425524933,False
All ages,Survival follows recent trend/Incidence constant,2012,Females,0%,5363.7,1426.2,1738.9,2198.6,388.5243750397135,False
All ages,Incidence/Survival follow recent trends,2012,Females,0%,4739.3,1014.6,1670.4,2054.4,525.7872953961516,False
All ages,Incidence/Survival follow recent trends,2012,Females,2%,4859.9,1055.6,1670.4,2134.0,540.9637326106068,False
All ages,Incidence/Survival follow recent trends,2012,Females,5%,5045.3,1118.6,1670.4,2256.4,568.9856588702391,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,2381.2,1494.2,110.8,776.2,691.8666441832078,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,2363.8,1482.0,110.5,771.3,685.9012781248722,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,2471.5,1494.2,130.1,847.2,682.3501325077423,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,2453.5,1482.0,129.6,841.9,676.5211329539775,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,2545.7,1541.9,129.6,874.2,706.498848784153,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,2687.5,1633.9,129.6,923.9,752.5435734892699,True
All ages,Incidence/Survival at constant rate,2012,Males,0%,12605.1,4799.9,6629.2,1176.0,2775.379251561847,True
All ages,Incidence follows recent trend/Survival constant,2012,Males,0%,12309.8,4577.2,6566.0,1166.6,2730.721460224996,True
All ages,Survival follows recent trend/Incidence constant,2012,Males,0%,12619.3,4799.9,6641.5,1178.0,2779.6727151471146,True
All ages,Incidence/Survival follow recent trends,2012,Males,0%,12323.7,4577.2,6578.0,1168.5,2735.115067049282,True
All ages,Incidence/Survival follow recent trends,2012,Males,2%,12519.1,4762.1,6578.0,1179.0,2747.2804558933067,True
All ages,Incidence/Survival follow recent trends,2012,Males,5%,12819.5,5046.4,6578.0,1195.1,2773.503279849031,True
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,1897.5,866.0,240.3,791.1,341.6848304114968,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,1718.4,748.2,232.1,738.2,295.1260804018061,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,1932.6,866.0,247.9,818.6,343.9943943341713,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,1750.1,748.2,239.0,762.9,298.3208395894148,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,1807.6,778.4,239.0,790.2,314.88438089770875,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,1895.9,824.8,239.0,832.1,340.3386891514588,False
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,2688.8,1104.1,805.6,779.1,180.47599101634907,True
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,2588.8,1032.0,792.6,764.2,147.1030024619937,True
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,2687.9,1104.1,804.8,779.0,180.70977652947644,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,2587.9,1032.0,791.8,764.1,147.3282842272092,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,2655.9,1073.7,791.8,790.4,163.1606876670971,True
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,2760.4,1137.8,791.8,830.8,189.51077366032078,True
All ages,Incidence/Survival at constant rate,2012,Both sexes,0%,20854.6,4115.5,11428.3,5310.8,3922.7879579877026,False
All ages,Incidence follows recent trend/Survival constant,2012,Both sexes,0%,22115.8,4474.6,11750.9,5890.4,3857.773355620225,False
All ages,Survival follows recent trend/Incidence constant,2012,Both sexes,0%,21667.5,4115.5,12110.1,5441.9,4284.426398014091,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,0%,22954.6,4474.6,12423.1,6056.9,4207.351264552715,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,2%,23306.8,4655.3,12423.1,6228.3,4106.673286250077,False
All ages,Incidence/Survival follow recent trends,2012,Both sexes,5%,23848.2,4933.2,12423.1,6491.9,3951.9463799500118,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,134173.6,42703.9,50949.8,40519.8,5500.7584267989805,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,130123.0,39662.8,50552.4,39907.9,6217.567080726458,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,136297.1,42703.9,52238.5,41354.6,5932.79707586003,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,132158.3,39662.8,51801.0,40694.4,6729.990853881847,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,136679.1,42090.5,51801.0,42787.6,5416.350835202609,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,143800.5,45914.7,51801.0,46084.8,3350.432910834061,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,4198.5,1037.2,1996.4,1164.9,520.8589348374471,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,4026.0,948.4,1946.1,1131.6,531.0960019933622,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,4217.8,1037.2,2008.5,1172.0,526.2013207889163,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,4044.2,948.4,1957.6,1138.3,536.3144506723644,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,4154.4,1006.4,1957.6,1190.5,504.4992005279426,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,4328.1,1097.9,1957.6,1272.7,454.3726700994826,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,4788.6,1318.5,1151.8,2318.3,630.8870976648676,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,4725.2,1277.8,1147.4,2300.0,631.1872094183574,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,4865.0,1318.5,1171.6,2374.9,656.4413479765983,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,4800.1,1277.8,1166.8,2355.5,656.603124675274,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,5016.0,1356.0,1166.8,2493.3,717.5014727046444,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,5356.2,1479.2,1166.8,2710.3,816.0466918830892,False
All ages,Incidence/Survival at constant rate,2013,Females,0%,17715.9,6297.3,7391.7,4026.9,1716.3093427468139,True
All ages,Incidence follows recent trend/Survival constant,2013,Females,0%,16875.9,5774.2,7198.6,3903.1,1652.7880898651226,True
All ages,Survival follows recent trend/Incidence constant,2013,Females,0%,17756.8,6297.3,7417.9,4041.7,1719.6027719602378,True
All ages,Incidence/Survival follow recent trends,2013,Females,0%,16914.4,5774.2,7223.2,3917.0,1657.2945463415165,True
All ages,Incidence/Survival follow recent trends,2013,Females,2%,17501.3,6127.7,7223.2,4150.5,1557.290669720974,True
All ages,Incidence/Survival follow recent trends,2013,Females,5%,18426.0,6684.4,7223.2,4518.4,1431.6543158178933,True
All ages,Incidence/Survival at constant rate,2013,Females,0%,1545.2,495.0,365.0,685.2,161.04040900759455,False
All ages,Incidence follows recent trend/Survival constant,2013,Females,0%,1340.6,355.7,346.9,638.1,165.64250662194172,False
All ages,Survival follows recent trend/Incidence constant,2013,Females,0%,1546.1,495.0,365.2,686.0,161.37000960525472,False
All ages,Incidence/Survival follow recent trends,2013,Females,0%,1341.4,355.7,347.0,638.7,165.95861934028417,False
All ages,Incidence/Survival follow recent trends,2013,Females,2%,1398.9,377.5,347.0,674.4,180.863954396668,False
All ages,Incidence/Survival follow recent trends,2013,Females,5%,1489.5,411.7,347.0,730.7,205.41534347105951,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,14979.2,6270.3,4155.4,4553.5,1123.8837321241615,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,13584.3,5321.0,3984.7,4278.7,702.2016543225553,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,15098.1,6270.3,4210.4,4617.3,1090.960174952933,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,13690.4,5321.0,4033.8,4335.6,673.1741032848287,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,14219.0,5646.7,4033.8,4538.5,825.0531033414353,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,15051.8,6159.7,4033.8,4858.2,1071.8355299827174,True
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,1462.6,617.2,168.2,677.2,278.1732074325875,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,1437.2,602.1,166.6,668.5,272.63309288003416,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,1549.2,617.2,187.1,744.9,292.2425191514746,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,1522.5,602.1,185.2,735.2,286.9440189305225,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,1599.8,639.0,185.2,775.7,309.11475215524734,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,1721.6,697.1,185.2,839.4,344.06117188662836,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,3830.8,1141.1,1061.2,1628.4,307.01822421478505,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,3605.4,1004.6,1033.8,1567.0,316.6092860293267,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,3844.5,1141.1,1066.6,1636.7,309.8880496781594,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,3618.2,1004.6,1038.8,1574.7,319.7322994840111,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,3769.0,1066.1,1038.8,1664.1,353.40000471609125,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,4006.6,1163.0,1038.8,1804.8,411.1141123013577,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,4177.6,1204.5,1767.9,1205.2,325.0772574840223,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,4525.8,1417.4,1838.4,1270.0,294.9707104103728,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,4224.8,1204.5,1795.9,1224.4,335.84773831802613,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,4578.6,1417.4,1869.7,1291.5,304.0672458519661,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,4724.8,1504.2,1869.7,1351.0,266.49270784269754,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,4955.2,1640.9,1869.7,1444.7,212.70828223962823,True
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,5873.8,833.6,2287.1,2753.1,1001.1908326254955,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,5704.0,790.8,2234.9,2678.3,986.9721897466684,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,5956.1,833.6,2323.3,2799.2,1025.4487034139413,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,5782.5,790.8,2269.5,2722.3,1010.1380912198755,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,5981.0,839.2,2269.5,2872.4,1044.281949475332,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,6293.7,915.4,2269.5,3108.8,1106.72300509206,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,12876.5,5583.8,1959.3,5333.3,2024.1717030265324,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,11616.5,4834.3,1874.4,4907.8,1730.5069498078688,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,13044.3,5583.8,2007.6,5452.9,2027.9888781746315,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,11763.8,4834.3,1917.0,5012.5,1738.0312032104985,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,12345.5,5130.2,1917.0,5298.3,1905.5227428013902,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,13261.8,5596.3,1917.0,5748.5,2169.516289406466,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,13066.0,3319.7,5286.8,4459.5,987.6784007627856,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,12959.4,3255.2,5267.6,4436.7,1011.2773127749548,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,13183.8,3319.7,5347.9,4516.2,1019.553201162156,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,13075.9,3255.2,5328.0,4492.7,1042.8831973588094,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,13516.2,3454.4,5328.0,4733.8,957.454521113144,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,14209.9,3768.2,5328.0,5113.6,845.4825604351638,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,2607.7,515.8,1736.0,356.0,754.8536370272938,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,2813.1,631.0,1799.7,382.4,756.7915763273268,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,2612.6,515.8,1739.8,357.0,756.6955882872144,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,2818.6,631.0,1804.0,383.5,758.8374331831556,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,2879.3,669.6,1804.0,405.6,742.9762131679138,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,2974.9,730.5,1804.0,440.4,718.3273650177426,True
All ages,Incidence/Survival at constant rate,2013,Females,0%,5408.5,1442.6,1751.0,2214.9,388.750361200261,False
All ages,Incidence follows recent trend/Survival constant,2013,Females,0%,4687.7,983.4,1662.6,2041.7,536.1946692511344,False
All ages,Survival follows recent trend/Incidence constant,2013,Females,0%,5474.0,1442.6,1776.8,2254.7,408.16345990301477,False
All ages,Incidence/Survival follow recent trends,2013,Females,0%,4739.0,983.4,1682.9,2072.7,551.938822092932,False
All ages,Incidence/Survival follow recent trends,2013,Females,2%,4920.9,1043.6,1682.9,2194.3,576.5334537850631,False
All ages,Incidence/Survival follow recent trends,2013,Females,5%,5207.3,1138.5,1682.9,2385.9,625.3781682576819,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,2436.9,1522.2,116.4,798.3,703.0045590179342,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,2418.3,1509.2,116.0,793.1,696.6909716653432,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,2549.6,1522.2,140.8,886.6,691.4322044375235,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,2530.2,1509.2,140.3,880.7,685.2118431550932,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,2673.8,1601.6,140.3,931.9,731.4969058945726,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,2900.0,1747.1,140.3,1012.7,804.3870710049981,True
All ages,Incidence/Survival at constant rate,2013,Males,0%,13005.2,4935.0,6860.8,1209.3,2873.1225284232714,True
All ages,Incidence follows recent trend/Survival constant,2013,Males,0%,12643.6,4675.5,6771.9,1196.2,2816.287507221756,True
All ages,Survival follows recent trend/Incidence constant,2013,Males,0%,13025.2,4935.0,6878.1,1212.1,2879.212219224789,True
All ages,Incidence/Survival follow recent trends,2013,Males,0%,12663.1,4675.5,6788.7,1198.9,2822.4760359183447,True
All ages,Incidence/Survival follow recent trends,2013,Males,2%,12965.4,4961.6,6788.7,1215.1,2841.348670965955,True
All ages,Incidence/Survival follow recent trends,2013,Males,5%,13441.6,5412.4,6788.7,1240.5,2889.1023559807177,True
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,1936.7,883.3,245.7,807.7,348.35162312429856,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,1727.9,749.1,235.0,743.8,295.2976859600043,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,1980.9,883.3,255.6,842.1,351.11417421308033,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,1767.1,749.1,243.8,774.3,299.2750629994643,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,1854.9,794.9,243.8,816.2,324.5013251128568,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,1993.1,867.1,243.8,882.2,364.29966145102765,False
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,2725.3,1125.6,814.1,785.5,188.64349975549112,True
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,2613.3,1047.0,798.3,768.0,153.08536834067456,True
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,2724.0,1125.6,813.0,785.4,188.95173987026416,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,2612.0,1047.0,797.2,767.9,153.381517791421,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,2716.2,1111.1,797.2,807.9,178.22174390348664,True
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,2880.2,1212.0,797.2,871.0,221.2790395255125,True
All ages,Incidence/Survival at constant rate,2013,Both sexes,0%,21538.7,4161.3,11834.9,5542.5,4090.357526345751,False
All ages,Incidence follows recent trend/Survival constant,2013,Both sexes,0%,22818.8,4486.2,12129.7,6203.0,4010.3255765585923,False
All ages,Survival follows recent trend/Incidence constant,2013,Both sexes,0%,22644.3,4161.3,12732.6,5750.5,4559.650219406455,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,0%,23896.4,4486.2,13007.7,6402.5,4470.585997756149,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,2%,24442.6,4760.8,13007.7,6674.1,4316.375127735463,False
All ages,Incidence/Survival follow recent trends,2013,Both sexes,5%,25302.9,5193.3,13007.7,7101.9,4074.024933649769,False
All ages,Incidence/Survival at constant rate,2014,Both sexes,0%,137401.1,43466.6,52408.1,41526.4,5804.110514396958,True
All ages,Incidence follows recent trend/Survival constant,2014,Both sexes,0%,132634.1,40028.8,51815.4,40789.9,6596.272470367891,False
